id,views,mature,life_time,created_at,updated_at,language,affiliate
67,929459,0,1943,6/17/2013,10/12/2018,PT,0
68,9350,0,715,10/27/2016,10/12/2018,KO,1
69,4594,0,1820,10/17/2013,10/11/2018,EN,0
70,3059,0,182,4/12/2018,10/11/2018,EN,1
71,75,1,1769,11/30/2013,10/4/2018,EN,0
72,5639,0,852,5/30/2016,9/29/2018,EN,0
73,44529,1,1896,7/29/2013,10/7/2018,FR,1
74,1042,0,1807,10/30/2013,10/11/2018,EN,1
75,784,0,1742,12/24/2013,10/1/2018,EN,0
76,1958,0,456,7/10/2017,10/9/2018,EN,1
77,3409,1,1609,5/17/2014,10/12/2018,EN,1
78,49854,0,1461,10/12/2014,10/12/2018,RU,1
79,33356,0,1984,4/30/2013,10/5/2018,IT,0
80,7738,0,1794,11/13/2013,10/12/2018,EN,0
81,77565,0,2456,1/16/2012,10/7/2018,EN,1
82,255,1,1867,7/2/2013,8/12/2018,EN,0
83,94298,1,1319,3/2/2015,10/11/2018,DE,0
84,2639,0,1018,12/29/2015,10/12/2018,EN,1
85,1974604,1,631,1/19/2017,10/12/2018,EN,0
86,4740,1,1155,8/9/2015,10/7/2018,EN,1
87,9529,1,369,10/8/2017,10/12/2018,EN,1
88,7149,1,2170,10/27/2012,10/6/2018,EN,0
89,1442,1,397,9/6/2017,10/8/2018,EN,0
90,18460,0,2070,2/10/2013,10/12/2018,EN,1
91,3477,0,1157,8/9/2015,10/9/2018,EN,1
92,3955,1,1523,8/7/2014,10/8/2018,EN,0
93,2003,0,374,10/3/2017,10/12/2018,EN,0
94,922,0,899,4/25/2016,10/11/2018,EN,1
95,1108,1,1163,8/5/2015,10/11/2018,EN,0
96,257,0,775,8/19/2016,10/3/2018,EN,0
97,47789,1,3234,12/4/2009,10/12/2018,EN,1
98,2154,1,2075,2/1/2013,10/8/2018,EN,0
99,2060,1,3272,10/4/2009,9/19/2018,EN,0
100,2073,1,597,2/17/2017,10/7/2018,EN,1
101,164810,0,768,9/4/2016,10/12/2018,ES,0
102,9429,0,1249,5/12/2015,10/12/2018,EN,0
103,5444,0,755,9/13/2016,10/8/2018,EN,1
104,10540,1,1973,4/25/2013,9/19/2018,EN,1
105,103322,0,2489,9/27/2011,7/21/2018,ES,0
106,8436,0,2021,3/27/2013,10/8/2018,EN,1
107,2203,1,2052,2/23/2013,10/7/2018,OTHER,1
108,1946,0,1399,12/10/2014,10/9/2018,TR,0
109,10529,1,673,12/1/2016,10/5/2018,EN,1
110,2112,1,1824,9/6/2013,9/4/2018,EN,0
111,119221,0,1998,4/23/2013,10/12/2018,EN,0
112,3945,1,519,4/9/2017,9/10/2018,EN,0
113,295,1,1697,2/18/2014,10/12/2018,EN,0
114,8766,1,1595,5/31/2014,10/12/2018,EN,1
115,4093,0,808,7/26/2016,10/12/2018,EN,1
116,13003233,0,3039,6/17/2010,10/12/2018,EN,0
117,1971793,0,1477,9/26/2014,10/12/2018,EN,0
118,120872,1,883,5/12/2016,10/12/2018,EN,0
119,4553,1,450,7/19/2017,10/12/2018,EN,1
120,140,0,911,3/25/2016,9/22/2018,EN,0
121,411,0,1816,10/16/2013,10/6/2018,EN,0
122,306,1,537,3/25/2017,9/13/2018,EN,0
123,2307,1,2644,7/16/2011,10/11/2018,EN,0
124,5581,1,2129,12/13/2012,10/12/2018,EN,0
125,124,1,1171,7/20/2015,10/3/2018,EN,0
126,60918,0,1729,1/17/2014,10/12/2018,PL,1
127,147,0,1005,1/10/2016,10/11/2018,EN,0
128,162,0,1564,4/28/2014,8/9/2018,EN,0
129,6456,1,2322,6/3/2012,10/12/2018,ZH,1
130,10759,0,948,3/6/2016,10/10/2018,EN,1
131,2323,1,2137,12/5/2012,10/12/2018,DE,0
132,34130,1,1936,6/23/2013,10/11/2018,EN,1
133,793,1,1347,2/3/2015,10/12/2018,EN,0
134,2758,1,1233,5/28/2015,10/12/2018,EN,1
135,16797,0,174,4/21/2018,10/12/2018,EN,1
136,2479,0,2769,12/18/2010,7/18/2018,EN,0
137,170155,0,1812,10/26/2013,10/12/2018,EN,1
138,507,1,1287,2/12/2015,8/22/2018,EN,0
139,41660,1,1868,7/3/2013,8/14/2018,FR,0
140,807,1,1411,11/20/2014,10/1/2018,DE,1
141,4374,0,1748,12/27/2013,10/10/2018,EN,0
142,13180,1,1520,8/14/2014,10/12/2018,EN,1
143,794,1,1051,10/25/2015,9/10/2018,EN,0
144,11194,0,1633,4/19/2014,10/8/2018,PT,0
145,4279,1,1264,4/27/2015,10/12/2018,EN,1
146,3453,1,1627,4/16/2014,9/29/2018,EN,0
147,3482,1,708,11/3/2016,10/12/2018,EN,1
148,2102612,1,1372,1/9/2015,10/12/2018,PL,0
149,5951,1,2588,9/11/2011,10/12/2018,EN,1
150,2178,1,2365,4/10/2012,10/1/2018,EN,0
151,204,1,846,6/15/2016,10/9/2018,EN,0
152,10509729,0,2521,11/17/2011,10/12/2018,EN,0
153,630,0,1082,8/30/2015,8/16/2018,EN,0
154,43650,0,2145,11/27/2012,10/12/2018,EN,1
155,14557,1,2078,1/14/2013,9/23/2018,EN,1
156,66068,0,2143,11/26/2012,10/9/2018,ZH,1
157,911,0,1998,4/16/2013,10/5/2018,EN,0
158,24020,1,1322,2/27/2015,10/11/2018,EN,1
159,1357,1,1361,1/6/2015,9/28/2018,EN,1
160,1064,1,936,3/16/2016,10/8/2018,EN,1
161,238,0,2681,6/7/2011,10/9/2018,EN,0
162,1341,0,1879,6/11/2013,8/3/2018,EN,0
163,3968,0,1646,4/6/2014,10/8/2018,EN,1
164,22228,0,543,4/16/2017,10/11/2018,KO,1
165,13697,0,3226,11/29/2009,9/29/2018,EN,1
166,9116,0,2092,12/11/2012,9/3/2018,FR,0
167,26427,0,939,3/17/2016,10/12/2018,KO,0
168,1921,0,1070,11/2/2015,10/7/2018,EN,0
169,6051,0,1910,7/20/2013,10/12/2018,EN,0
170,313084,0,973,2/12/2016,10/12/2018,SV,1
171,6144,0,1448,10/25/2014,10/12/2018,ES,0
172,394,1,635,12/22/2016,9/18/2018,EN,0
173,578,0,2005,4/4/2013,9/30/2018,EN,0
174,7032,0,1781,11/6/2013,9/22/2018,EN,0
175,7355,1,3468,4/5/2009,10/3/2018,EN,1
176,832,0,2003,4/17/2013,10/11/2018,EN,0
177,472,0,245,2/8/2018,10/11/2018,EN,0
178,11603,0,2138,12/4/2012,10/12/2018,EN,0
179,976,0,1939,6/8/2013,9/29/2018,EN,0
180,5373,0,2457,1/9/2012,10/1/2018,EN,0
181,1518,1,2057,2/15/2013,10/4/2018,EN,0
182,362,0,1242,5/15/2015,10/8/2018,EN,0
183,934086,1,1412,11/30/2014,10/12/2018,EN,0
184,785333,1,3631,11/2/2008,10/12/2018,EN,0
185,1448,1,402,9/4/2017,10/11/2018,EN,0
186,430,0,184,12/15/2017,6/17/2018,EN,0
187,27452,1,2011,4/10/2013,10/12/2018,FR,0
188,193768,0,721,10/21/2016,10/12/2018,FR,0
189,6525,0,1647,4/9/2014,10/12/2018,EN,0
190,2850,0,632,1/17/2017,10/11/2018,PT,0
191,27815,0,1137,8/30/2015,10/10/2018,DE,1
192,2179,1,1324,2/23/2015,10/9/2018,EN,1
193,11705,1,2401,3/16/2012,10/12/2018,EN,1
194,1326,1,1584,6/9/2014,10/10/2018,EN,1
195,960,0,1751,12/9/2013,9/25/2018,EN,0
196,19959321,0,1276,4/15/2015,10/12/2018,EN,0
197,27924,1,1867,9/1/2013,10/12/2018,EN,1
198,2356,1,187,4/8/2018,10/12/2018,DE,0
199,4597,1,1577,6/4/2014,9/28/2018,EN,0
200,14486,1,1896,8/3/2013,10/12/2018,ZH,0
201,1086,0,617,12/29/2016,9/7/2018,EN,1
202,5989,1,2236,8/28/2012,10/12/2018,EN,1
203,2863112,1,1057,11/20/2015,10/12/2018,EN,0
204,3929,1,1701,2/14/2014,10/12/2018,EN,0
205,3422,1,906,4/18/2016,10/11/2018,PT,1
206,3444,1,1834,9/25/2013,10/3/2018,EN,1
207,12276,0,2009,4/12/2013,10/12/2018,EN,1
208,6701,1,1783,11/24/2013,10/12/2018,EN,1
209,3101,0,1642,4/13/2014,10/11/2018,EN,1
210,8723,1,2196,10/1/2012,10/6/2018,DE,0
211,8052,0,1627,4/21/2014,10/4/2018,NL,0
212,5189,1,1593,6/1/2014,10/11/2018,EN,1
213,240,0,433,7/5/2017,9/11/2018,TH,0
214,88,0,1665,3/22/2014,10/12/2018,EN,0
215,5735,1,1574,6/16/2014,10/7/2018,RU,0
216,382,0,706,10/18/2016,9/24/2018,EN,0
217,7970,0,1895,8/4/2013,10/12/2018,JA,1
218,2871,0,1722,12/9/2013,8/27/2018,EN,0
219,1890,1,455,7/8/2017,10/6/2018,EN,1
220,251,1,904,4/8/2016,9/29/2018,EN,0
221,1081,1,1931,6/23/2013,10/6/2018,EN,0
222,1196,0,594,2/25/2017,10/12/2018,EN,0
223,26824,1,726,10/11/2016,10/7/2018,EN,0
224,15096,1,1215,5/29/2015,9/25/2018,EN,0
225,3521,1,1152,8/15/2015,10/10/2018,EN,1
226,266842,1,2720,4/29/2011,10/9/2018,EN,0
227,2435,0,1178,7/21/2015,10/11/2018,EN,1
228,1138,0,607,2/12/2017,10/12/2018,EN,1
229,33004,1,1685,3/2/2014,10/12/2018,EN,1
230,68338,0,781,8/21/2016,10/11/2018,KO,0
231,1907,0,1020,12/25/2015,10/10/2018,DE,0
232,1635,0,2213,9/15/2012,10/7/2018,DE,0
233,393,1,2404,2/14/2012,9/14/2018,EN,0
234,3433,1,1864,8/31/2013,10/8/2018,EN,1
235,1973,0,1798,10/23/2013,9/25/2018,EN,0
236,291260,1,1258,5/3/2015,10/12/2018,EN,0
237,111877,0,2138,11/26/2012,10/4/2018,EN,0
238,4482,1,1470,10/2/2014,10/11/2018,EN,1
239,702,0,1912,7/8/2013,10/2/2018,EN,0
240,3729,1,1435,11/7/2014,10/12/2018,EN,1
241,203364,1,502,5/28/2017,10/12/2018,EN,1
242,59022,0,2316,6/7/2012,10/10/2018,EN,1
243,1058,1,812,7/12/2016,10/2/2018,EN,0
244,16344,1,1367,1/14/2015,10/12/2018,DE,1
245,791,0,1198,7/1/2015,10/11/2018,EN,0
246,1034,1,938,3/18/2016,10/12/2018,EN,0
247,2822,0,1626,4/28/2014,10/10/2018,EN,1
248,364,1,993,1/19/2016,10/8/2018,EN,0
249,24703,1,1377,1/4/2015,10/12/2018,DE,1
250,37236,1,1550,7/11/2014,10/8/2018,RU,1
251,2013,1,684,11/27/2016,10/12/2018,EN,0
252,25443,0,1367,1/13/2015,10/11/2018,CS,1
253,2333,0,1150,8/10/2015,10/3/2018,EN,1
254,3994,1,931,3/24/2016,10/11/2018,EN,1
255,51209,1,539,4/20/2017,10/11/2018,EN,1
256,46796,0,1544,7/21/2014,10/12/2018,FR,1
257,180,0,1324,10/31/2014,6/16/2018,EN,0
258,1002,1,1769,12/7/2013,10/11/2018,EN,0
259,17627,0,2091,1/20/2013,10/12/2018,EN,1
260,8082,0,2151,7/9/2012,5/30/2018,EN,0
261,6370,0,1205,6/24/2015,10/11/2018,FR,0
262,2798,0,2199,9/24/2012,10/2/2018,EN,0
263,1520,0,2725,4/22/2011,10/7/2018,EN,0
264,565,0,1780,11/13/2013,9/28/2018,EN,0
265,4953,0,1895,7/31/2013,10/8/2018,ES,0
266,2841,0,2229,9/4/2012,10/12/2018,FR,0
267,44091,1,2503,12/4/2011,10/11/2018,EN,1
268,1596,0,1906,7/18/2013,10/6/2018,RU,0
269,63318,1,784,8/19/2016,10/12/2018,EN,1
270,4103,0,3070,5/17/2010,10/12/2018,EN,1
271,4854942,0,1860,9/8/2013,10/12/2018,KO,0
272,5298,0,371,10/2/2017,10/8/2018,FR,0
273,583,1,1333,2/16/2015,10/11/2018,EN,0
274,297174,0,975,2/10/2016,10/12/2018,JA,0
275,7017,1,1943,6/17/2013,10/12/2018,RU,1
276,5191,0,1388,12/21/2014,10/9/2018,EN,1
277,3340,1,1779,11/28/2013,10/12/2018,EN,1
278,1985,1,659,12/12/2016,10/2/2018,DE,1
279,15096,0,1983,5/4/2013,10/8/2018,EN,1
280,42501,0,1149,8/20/2015,10/12/2018,TH,0
281,10058,0,2441,2/2/2012,10/9/2018,EN,0
282,17344,0,1024,12/23/2015,10/12/2018,DE,1
283,47164,1,1337,2/13/2015,10/12/2018,DE,1
284,10692,0,2735,4/14/2011,10/9/2018,EN,0
285,2650,0,1049,11/28/2015,10/12/2018,EN,1
286,2145045,1,1249,5/12/2015,10/12/2018,EN,0
287,1261,0,1760,12/16/2013,10/11/2018,EN,0
288,5421,0,2204,9/24/2012,10/7/2018,EN,1
289,7186,0,2012,3/16/2013,9/18/2018,DE,1
290,16086,0,759,9/13/2016,10/12/2018,EN,1
291,3956,0,1354,1/27/2015,10/12/2018,EN,1
292,151991,1,1944,6/16/2013,10/12/2018,DA,1
293,22458,0,1546,7/19/2014,10/12/2018,EN,0
294,713,0,4149,5/22/2007,9/30/2018,EN,0
295,16322,1,1710,2/5/2014,10/12/2018,EN,1
296,35482,0,2547,10/21/2011,10/11/2018,SV,0
297,616,1,1536,7/29/2014,10/12/2018,EN,0
298,4654,1,1352,1/29/2015,10/12/2018,DE,0
299,3225,1,2443,2/3/2012,10/12/2018,EN,1
300,3396,1,1751,12/22/2013,10/8/2018,EN,1
301,5594,0,1454,10/19/2014,10/12/2018,FR,1
302,34,1,1659,2/21/2014,9/7/2018,EN,0
303,8483,1,1491,9/8/2014,10/8/2018,NL,1
304,1716,0,2000,4/15/2013,10/6/2018,EN,0
305,14531,1,579,3/11/2017,10/11/2018,EN,1
306,32682,1,1804,11/3/2013,10/12/2018,EN,1
307,778,0,1294,3/28/2015,10/12/2018,EN,0
308,2604,0,2285,7/7/2012,10/9/2018,EN,1
309,3630,1,1702,2/4/2014,10/3/2018,EN,0
310,83,0,646,11/15/2016,8/23/2018,EN,0
311,189645,1,1505,8/29/2014,10/12/2018,EN,1
312,67320,0,1720,1/26/2014,10/12/2018,EN,0
313,1783,0,443,7/26/2017,10/12/2018,EN,1
314,32167,0,2377,4/9/2012,10/12/2018,ZH,0
315,158,0,1388,12/21/2014,10/9/2018,EN,0
316,1212,0,2370,4/16/2012,10/12/2018,EN,0
317,4144,0,629,1/4/2017,9/25/2018,RU,1
318,4070,0,926,1/28/2016,8/11/2018,EN,0
319,354,1,2740,4/10/2011,10/10/2018,EN,0
320,12262,1,828,7/6/2016,10/12/2018,ES,1
321,677,0,504,5/24/2017,10/10/2018,EN,0
322,9458,0,1236,5/21/2015,10/8/2018,FR,1
323,2379,0,1788,11/15/2013,10/8/2018,EN,0
324,4899,1,1009,1/5/2016,10/10/2018,EN,1
325,333150,0,2269,7/23/2012,10/9/2018,EN,0
326,3845,1,1135,8/26/2015,10/4/2018,EN,0
327,1653,0,879,5/10/2016,10/6/2018,EN,1
328,22942,1,1759,11/29/2013,9/23/2018,EN,1
329,6555,0,2321,6/3/2012,10/11/2018,EN,1
330,4747,1,1908,7/22/2013,10/12/2018,EN,1
331,7571,0,1060,11/9/2015,10/4/2018,ES,1
332,989,1,2091,12/26/2012,9/17/2018,OTHER,0
333,35312,0,1917,7/13/2013,10/12/2018,EN,1
334,10,0,1119,7/21/2015,8/13/2018,EN,0
335,4937,0,1317,3/5/2015,10/12/2018,ES,1
336,3963,1,1097,10/11/2015,10/12/2018,EN,0
337,413418,0,2475,1/2/2012,10/12/2018,RU,0
338,1092960,1,1982,5/9/2013,10/12/2018,EN,0
339,7464,1,2084,1/26/2013,10/11/2018,DA,1
340,1026,0,1175,7/24/2015,10/11/2018,EN,0
341,426,1,1212,3/15/2015,7/9/2018,EN,0
342,4230,0,937,3/16/2016,10/9/2018,RU,0
343,3522,1,1964,5/15/2013,9/30/2018,EN,0
344,2802,0,1756,12/21/2013,10/12/2018,ES,0
345,5294,1,993,1/22/2016,10/11/2018,EN,1
346,19598,0,707,11/4/2016,10/12/2018,KO,1
347,2833,0,1720,1/25/2014,10/11/2018,EN,1
348,2789,0,1348,1/29/2015,10/8/2018,EN,1
349,263,0,1698,1/26/2014,9/20/2018,EN,0
350,125,0,1435,10/31/2014,10/5/2018,EN,0
351,180586,1,800,8/3/2016,10/12/2018,FR,1
352,4010,1,1117,9/21/2015,10/12/2018,EN,1
353,1942,1,2512,11/20/2011,10/6/2018,EN,0
354,3756,1,243,2/11/2018,10/12/2018,EN,1
355,6008,1,1103,10/4/2015,10/11/2018,EN,1
356,983,0,945,3/10/2016,10/11/2018,EN,0
357,15620,0,2647,4/26/2011,7/25/2018,EN,0
358,376,1,1880,8/10/2013,10/3/2018,EN,0
359,5050,0,1282,3/25/2015,9/27/2018,EN,1
360,4776,0,1707,2/8/2014,10/12/2018,EN,1
361,3272,1,1886,8/13/2013,10/12/2018,EN,0
362,4074,1,975,2/9/2016,10/11/2018,EN,1
363,3826,0,1433,11/9/2014,10/12/2018,EN,1
364,503,0,1269,3/27/2015,9/16/2018,EN,0
365,25219,1,2201,10/2/2012,10/12/2018,EN,1
366,857,0,1730,1/4/2014,9/30/2018,EN,0
367,1133,0,2268,7/6/2012,9/21/2018,EN,0
368,801,1,1400,12/5/2014,10/5/2018,EN,1
369,526,1,768,9/2/2016,10/10/2018,EN,0
370,7834,1,2078,2/2/2013,10/12/2018,EN,1
371,3731,1,1705,2/6/2014,10/8/2018,EN,1
372,4156,1,2271,7/21/2012,10/9/2018,EN,0
373,2164135,0,2028,3/24/2013,10/12/2018,EN,0
374,348,1,1935,6/9/2013,9/26/2018,EN,0
375,6877,1,1823,10/13/2013,10/10/2018,EN,1
376,1527,0,2816,12/23/2010,9/8/2018,EN,0
377,1252,1,1620,5/6/2014,10/12/2018,EN,0
378,1060,1,1931,6/25/2013,10/8/2018,EN,0
379,165169,0,1590,6/4/2014,10/11/2018,FR,1
380,18370,1,2179,9/24/2012,9/12/2018,EN,1
381,2213,1,644,12/28/2016,10/3/2018,EN,1
382,170,1,585,12/1/2016,7/9/2018,EN,0
383,6931,0,1615,4/30/2014,10/1/2018,EN,0
384,29549,0,1970,5/5/2013,9/26/2018,RU,0
385,52932,1,2171,10/28/2012,10/8/2018,EN,0
386,10676,1,2949,9/14/2010,10/11/2018,EN,1
387,15722,0,1811,10/27/2013,10/12/2018,EN,1
388,24715,1,1356,1/25/2015,10/12/2018,EN,1
389,3283,0,1532,8/2/2014,10/12/2018,DE,0
390,16054,1,1573,6/20/2014,10/10/2018,EN,1
391,377,0,1011,1/2/2016,10/9/2018,EN,0
392,3224,0,2241,8/13/2012,10/2/2018,EN,0
393,3950,0,2219,9/14/2012,10/12/2018,EN,1
394,16990,1,1691,2/7/2014,9/25/2018,EN,1
395,2194776,0,3190,1/17/2010,10/12/2018,EN,0
396,1896,0,1694,2/21/2014,10/12/2018,EN,1
397,335,1,650,12/30/2016,10/11/2018,EN,0
398,1039,1,971,1/25/2016,9/22/2018,DE,0
399,89458,1,2142,11/30/2012,10/12/2018,EN,0
400,18620,0,1561,7/4/2014,10/12/2018,EN,1
401,3206,1,1894,7/6/2013,9/12/2018,EN,0
402,3044020,0,2111,12/31/2012,10/12/2018,DE,0
403,22747,0,1544,7/21/2014,10/12/2018,RU,1
404,221388,0,2392,3/12/2012,9/29/2018,HU,0
405,117104,0,2154,11/18/2012,10/12/2018,FR,1
406,2078,0,785,8/18/2016,10/12/2018,EN,1
407,20809,1,2060,2/20/2013,10/12/2018,EN,0
408,64,0,1141,8/12/2015,9/26/2018,EN,0
409,199491,1,978,2/7/2016,10/12/2018,ES,0
410,1410,0,1676,2/2/2014,9/5/2018,DE,0
411,6260,0,191,4/3/2018,10/11/2018,EN,1
412,16465,1,1759,12/18/2013,10/12/2018,ZH,1
413,396,1,1172,7/14/2015,9/28/2018,EN,0
414,51899,1,2708,5/14/2011,10/12/2018,EN,1
415,706828,0,2209,9/24/2012,10/12/2018,TR,1
416,82078,1,2293,7/2/2012,10/12/2018,EN,1
417,41446,0,1540,7/25/2014,10/12/2018,EN,0
418,796,0,2566,7/21/2011,7/30/2018,EN,0
419,1496,1,871,5/24/2016,10/12/2018,EN,1
420,844,0,1661,3/16/2014,10/2/2018,ES,0
421,10327,0,886,5/8/2016,10/11/2018,EN,1
422,2967,1,1599,5/24/2014,10/9/2018,EN,1
423,9578,0,1523,8/7/2014,10/8/2018,EN,0
424,1104,0,1596,4/12/2014,8/25/2018,EN,0
425,2994,0,1122,9/8/2015,10/4/2018,EN,0
426,865,0,1639,4/13/2014,10/8/2018,FR,0
427,2375,1,1004,1/10/2016,10/10/2018,EN,1
428,28865,0,2323,5/29/2012,10/8/2018,FR,0
429,3206,1,1317,3/5/2015,10/12/2018,EN,1
430,206,0,204,2/26/2018,9/18/2018,EN,0
431,512,0,1637,3/19/2014,9/11/2018,EN,0
432,2790,1,283,1/2/2018,10/12/2018,EN,1
433,1489,1,1633,4/16/2014,10/5/2018,EN,0
434,1261,0,2418,2/15/2012,9/29/2018,EN,0
435,6376,1,1368,1/13/2015,10/12/2018,EN,1
436,771,1,2494,8/31/2011,6/29/2018,EN,0
437,7352,1,959,2/24/2016,10/10/2018,RU,1
438,1992,0,3125,12/18/2009,7/9/2018,EN,0
439,7284,1,2593,9/6/2011,10/12/2018,EN,1
440,1408,1,2036,3/16/2013,10/12/2018,EN,1
441,691,1,1760,12/13/2013,10/8/2018,EN,0
442,6917,0,2003,12/4/2012,5/30/2018,EN,0
443,1113,0,1918,7/4/2013,10/4/2018,EN,0
444,1449,0,925,3/31/2016,10/12/2018,EN,1
445,281370,0,1047,11/30/2015,10/12/2018,RU,0
446,7252,0,1980,5/4/2013,10/5/2018,EN,0
447,46065,1,2260,7/16/2012,9/23/2018,EN,0
448,2552,1,682,11/29/2016,10/12/2018,EN,1
449,8074,1,1051,11/10/2015,9/26/2018,EN,0
450,115054,1,3039,6/17/2010,10/12/2018,EN,1
451,6586,1,1353,1/17/2015,10/1/2018,EN,0
452,5225,0,1233,5/28/2015,10/12/2018,EN,1
453,1122,1,1528,8/6/2014,10/12/2018,EN,1
454,20661,0,1909,7/20/2013,10/11/2018,EN,1
455,2685,1,2334,5/18/2012,10/8/2018,DE,0
456,17162,1,901,4/24/2016,10/12/2018,EN,1
457,71,0,267,1/7/2018,10/1/2018,PT,0
458,2412,0,315,11/26/2017,10/7/2018,EN,0
459,2839,1,883,5/2/2016,10/2/2018,EN,1
460,247,0,1053,10/25/2015,9/12/2018,DE,0
461,10246,0,365,10/11/2017,10/11/2018,EN,1
462,153058,0,2273,7/22/2012,10/12/2018,DA,1
463,8232,0,2423,2/23/2012,10/12/2018,EN,0
464,50314,1,2982,7/10/2010,9/8/2018,EN,0
465,1782,0,629,1/15/2017,10/6/2018,PT,0
466,674,0,1489,9/9/2014,10/7/2018,EN,0
467,111571,0,2816,1/24/2011,10/10/2018,EN,1
468,2517,0,1094,10/14/2015,10/12/2018,EN,0
469,1634,0,1875,8/23/2013,10/11/2018,EN,0
470,220508,0,2641,7/18/2011,10/10/2018,EN,0
471,1008,0,1721,1/24/2014,10/11/2018,RU,0
472,1870,0,592,2/27/2017,10/12/2018,EN,1
473,2869,0,1045,11/20/2015,9/30/2018,EN,1
474,3913,1,2283,6/18/2012,9/18/2018,EN,0
475,14580,0,1298,3/24/2015,10/12/2018,ZH,0
476,29,0,1432,2/12/2014,1/14/2018,OTHER,0
477,551,1,998,12/5/2015,8/29/2018,EN,0
478,4098,1,847,6/14/2016,10/9/2018,NL,1
479,657,0,1664,3/21/2014,10/10/2018,EN,0
480,6273,0,1935,6/24/2013,10/11/2018,EN,0
481,53137,0,3269,10/29/2009,10/11/2018,FR,1
482,18116,1,2078,1/31/2013,10/10/2018,EN,1
483,18990,1,1346,2/4/2015,10/12/2018,EN,1
484,1843,1,2426,2/20/2012,10/12/2018,EN,1
485,556,0,1007,11/13/2015,8/16/2018,EN,0
486,4562,0,2518,11/13/2011,10/5/2018,EN,0
